payload_kg,distance_km,battery_pct,wind_speed_mps,rain_mm,time_of_day,num_stops,success
1.01,17.89,35.1,11.02,1.99,night,2,0
4.36,18.4,30.8,7.52,4.18,morning,1,0
3.91,1.99,88.7,9.07,1.95,evening,2,1
3.88,10.93,25.4,4.54,0.06,morning,1,0
4.24,14.84,48.3,3.01,1.76,evening,3,0
3.83,15.16,26.8,8.14,2.49,morning,1,0
3.17,12.17,79.6,6.6,4.75,afternoon,2,0
0.74,3.42,52.7,5.85,4.71,night,2,1
0.26,15.97,41.6,10.09,0.9,evening,1,0
4.61,14.43,42.5,10.36,0.93,morning,1,0
3.12,1.81,86.7,0.69,0.82,afternoon,1,1
4.0,9.33,59.8,5.08,3.94,morning,1,0
2.46,3.56,74.6,6.18,0.03,evening,1,1
0.67,6.82,90.7,1.45,0.64,night,2,1
0.71,0.46,91.2,3.54,2.69,evening,1,1
3.46,8.07,39.6,0.77,1.24,morning,2,0
2.21,11.04,95.7,14.94,0.46,afternoon,1,1
1.08,12.43,12.2,11.05,1.8,night,3,0
2.51,13.3,43.9,1.31,1.37,morning,1,0
0.41,16.74,90.6,0.3,2.56,evening,1,1
2.95,4.39,34.7,10.79,4.9,afternoon,1,0
1.42,2.5,34.6,6.59,0.62,evening,1,0
4.01,17.05,37.2,11.8,1.86,night,2,0
1.62,3.22,65.1,13.85,4.66,afternoon,2,0
2.33,19.5,49.4,8.99,4.38,evening,2,0
0.16,16.87,75.4,2.81,1.97,afternoon,2,1
0.45,10.07,90.5,11.73,3.49,morning,3,1
2.02,19.63,70.7,14.34,0.44,morning,2,0
2.45,2.04,28.4,8.7,3.56,afternoon,1,0
3.04,6.13,93.9,10.23,4.86,morning,1,1
1.53,12.8,33.8,5.06,2.69,night,1,0
3.51,7.07,23.5,5.72,2.49,morning,2,0
4.31,18.57,18.1,11.02,0.94,morning,1,0
3.92,1.41,60.7,13.92,3.17,afternoon,2,0
0.29,11.03,20.2,9.43,2.95,morning,1,0
2.45,11.86,22.5,11.85,3.26,afternoon,2,0
0.61,13.09,37.0,2.57,0.13,afternoon,3,0
1.29,5.19,35.3,3.18,2.74,evening,1,0
4.93,7.35,64.4,7.98,2.97,night,2,0
0.8,16.89,83.5,2.65,1.04,evening,3,1
2.54,3.98,78.5,9.52,1.04,morning,3,1
3.13,16.55,33.6,4.37,1.38,night,1,0
3.54,11.3,32.1,11.87,3.56,afternoon,2,0
2.84,15.27,96.9,12.12,3.03,afternoon,1,1
0.15,14.3,10.7,6.96,4.23,afternoon,2,0
1.7,4.23,89.2,2.71,1.48,morning,2,1
2.64,11.42,28.0,9.7,4.56,night,2,0
0.53,17.37,95.3,14.89,3.72,afternoon,1,1
1.82,8.7,40.8,9.34,1.98,evening,2,0
0.26,19.34,49.6,0.54,0.48,morning,1,0
0.49,9.1,73.6,0.26,1.28,evening,1,1
2.04,2.94,62.9,4.81,4.78,evening,2,1
0.75,7.85,38.6,2.94,1.55,morning,3,0
2.88,19.04,59.8,12.2,1.65,evening,3,0
3.48,6.46,75.8,12.67,0.95,evening,2,0
4.02,17.38,13.8,3.88,4.03,evening,1,0
1.08,17.64,11.0,4.88,1.38,evening,1,0
0.92,7.07,51.2,3.54,1.65,evening,1,1
0.61,1.76,21.9,13.63,2.07,morning,1,0
3.22,14.52,69.8,7.54,2.17,evening,1,0
3.56,6.3,29.3,9.84,2.06,afternoon,1,0
0.25,15.68,49.0,6.23,2.52,afternoon,1,0
4.69,8.91,27.8,9.47,4.07,night,3,0
0.35,9.76,59.4,5.79,4.1,morning,2,0
2.75,15.58,20.4,5.1,3.99,morning,2,0
3.57,7.71,12.1,9.52,0.51,morning,1,0
4.37,8.92,14.6,8.87,4.0,morning,1,0
3.6,7.59,95.9,4.4,0.6,morning,1,1
4.03,7.41,22.8,2.24,0.62,night,1,0
1.76,10.57,73.8,5.53,4.74,morning,2,1
4.09,16.2,16.1,6.23,4.1,evening,1,0
0.49,7.3,19.7,9.43,2.76,morning,2,0
4.48,10.53,55.8,13.72,4.37,evening,3,0
2.78,13.45,51.8,0.54,4.95,night,1,0
4.1,5.46,95.6,3.65,3.05,morning,1,1
2.32,5.62,95.0,2.91,3.06,night,3,1
3.25,18.67,80.2,7.53,3.77,night,2,0
2.68,14.5,64.2,6.45,1.16,evening,2,0
3.68,11.59,50.9,10.94,0.84,afternoon,2,0
0.5,12.99,42.1,3.64,3.8,evening,1,0
0.4,0.68,95.2,8.92,1.72,night,1,1
1.31,12.4,64.3,13.26,0.68,morning,1,0
0.88,10.24,62.1,13.66,1.57,afternoon,1,0
4.37,10.96,30.9,14.38,1.79,afternoon,1,0
1.17,7.25,14.2,11.6,4.83,morning,1,0
4.88,1.72,95.1,13.59,3.49,night,3,1
1.75,3.95,38.2,3.52,2.65,afternoon,2,0
0.99,19.02,49.8,2.96,4.84,afternoon,1,0
3.97,8.23,20.3,0.1,4.52,evening,1,0
3.33,9.39,85.3,10.6,2.56,morning,2,1
2.54,1.15,12.5,14.06,4.53,morning,1,0
2.82,0.85,85.1,2.8,2.02,afternoon,2,1
3.62,14.37,22.6,9.55,1.15,afternoon,2,0
1.22,10.81,89.8,11.2,1.16,morning,2,1
4.98,10.22,75.7,13.91,3.31,morning,1,0
4.88,4.94,24.8,9.7,2.51,afternoon,2,0
3.29,14.92,60.9,14.55,3.29,night,1,0
1.08,3.45,38.1,5.17,3.43,night,1,0
3.43,3.88,26.0,5.25,0.11,morning,1,0
0.45,9.27,87.3,8.15,0.27,evening,3,1
0.25,5.8,46.3,5.75,2.66,night,1,0
1.36,5.02,45.9,0.02,0.96,afternoon,3,1
2.37,12.94,25.3,10.98,3.16,night,1,0
4.35,13.05,44.5,11.28,2.76,night,1,0
3.66,16.51,88.4,11.2,2.93,morning,2,0
3.74,8.41,42.7,5.18,1.51,morning,1,0
2.18,1.55,95.6,7.83,3.2,morning,1,1
1.8,5.55,95.2,5.4,4.15,morning,1,1
1.92,19.6,23.0,0.24,4.99,night,1,0
4.94,11.97,26.0,8.44,4.19,night,1,0
0.3,14.22,87.6,1.86,2.79,morning,2,1
4.35,0.25,45.3,1.2,0.97,evening,2,0
2.94,10.41,10.4,11.33,3.41,evening,3,0
2.25,0.85,34.6,0.14,4.69,afternoon,2,0
3.65,11.43,63.8,14.39,1.06,evening,2,0
2.48,18.42,81.9,7.73,1.28,night,2,0
4.38,19.37,22.0,14.75,0.75,morning,3,0
4.51,10.86,19.9,0.87,3.68,morning,1,0
2.17,9.22,93.0,8.75,2.03,morning,1,1
1.46,18.91,77.6,5.24,0.31,afternoon,2,0
3.0,13.5,63.1,12.65,4.37,afternoon,1,0
4.57,1.39,79.2,5.42,2.79,afternoon,3,1
1.13,9.37,48.6,3.91,1.66,afternoon,2,0
3.15,4.88,78.3,12.86,1.72,evening,1,0
3.19,9.45,43.5,5.62,1.45,afternoon,2,0
3.69,9.16,32.0,0.25,2.28,afternoon,1,0
0.74,11.68,75.6,5.85,1.69,night,3,1
3.61,7.2,47.8,9.82,2.74,night,3,0
4.55,3.37,98.3,3.82,3.87,morning,2,1
0.98,10.12,41.5,6.48,3.37,afternoon,1,0
1.26,16.62,93.0,0.85,1.47,night,1,1
4.86,13.31,94.0,8.82,2.64,morning,2,1
0.99,6.83,31.8,11.34,4.2,afternoon,3,0
4.29,18.72,81.8,6.2,0.34,afternoon,1,0
2.51,18.25,49.0,6.3,0.39,morning,1,0
1.31,4.27,92.6,1.32,2.78,morning,1,1
4.37,0.88,50.5,3.03,3.2,afternoon,2,0
2.28,14.85,77.0,2.32,1.06,evening,3,1
2.62,16.57,52.0,7.23,3.73,night,1,0
1.86,19.36,30.5,7.94,3.23,night,1,0
3.01,17.81,27.9,14.23,4.62,morning,2,0
0.9,12.05,48.3,1.1,0.84,morning,2,1
2.02,10.65,78.0,9.0,3.76,evening,2,1
4.85,0.65,64.5,7.9,0.42,afternoon,2,1
1.36,5.01,72.0,7.74,2.83,afternoon,1,1
3.32,9.25,35.4,13.1,2.76,morning,1,0
1.69,12.61,53.3,3.08,1.94,morning,3,0
3.89,11.19,14.0,0.61,4.22,afternoon,3,0
0.74,14.88,83.6,10.08,0.02,morning,2,1
4.85,5.67,99.1,5.18,2.6,night,2,1
2.32,11.34,46.6,0.26,1.09,morning,3,0
1.26,1.85,11.0,3.77,3.72,night,1,0
0.46,8.33,25.3,4.64,0.22,night,1,0
0.93,15.03,68.7,9.25,4.16,afternoon,2,0
2.65,13.9,65.1,2.59,4.19,evening,3,0
1.75,19.81,80.9,6.2,4.16,evening,2,0
4.16,5.63,32.8,7.24,0.76,morning,2,0
2.21,10.01,78.7,6.89,3.15,afternoon,1,1
1.32,6.66,71.9,14.61,0.07,afternoon,1,1
3.12,8.87,39.1,0.68,4.24,evening,1,0
3.56,17.15,59.1,14.26,3.61,afternoon,3,0
0.92,13.72,23.3,8.73,2.66,afternoon,1,0
0.92,17.66,50.7,11.94,3.65,afternoon,1,0
0.28,4.15,89.3,6.46,0.47,afternoon,3,1
3.71,17.48,47.9,6.81,2.64,afternoon,1,0
3.35,1.29,85.6,13.19,1.46,afternoon,2,1
2.43,17.78,63.1,13.44,4.86,night,2,0
4.24,6.65,27.3,3.58,4.29,evening,1,0
4.05,6.36,62.3,2.99,3.67,evening,2,0
2.97,10.29,55.5,7.44,4.67,evening,3,0
4.35,18.82,45.9,13.5,1.73,evening,1,0
1.11,1.05,20.8,4.84,4.5,evening,2,0
0.65,7.11,47.5,9.78,1.63,morning,1,0
1.42,17.15,16.5,10.62,3.66,night,1,0
0.38,7.98,18.9,11.68,3.68,morning,1,0
2.7,4.06,47.4,8.46,0.09,afternoon,3,0
4.69,8.55,37.5,6.04,1.81,morning,2,0
0.29,7.77,93.3,14.51,0.1,morning,1,1
0.7,18.32,43.8,9.17,4.99,evening,2,0
2.32,15.26,78.2,10.93,0.61,afternoon,1,0
4.68,10.15,57.7,5.17,2.71,night,1,0
1.65,19.77,73.4,10.05,3.95,morning,1,0
2.59,9.36,33.4,3.87,1.01,morning,2,0
0.3,1.26,94.8,3.68,2.43,morning,2,1
0.83,5.32,57.7,10.72,3.04,evening,3,1
4.93,8.78,84.8,7.82,0.8,night,1,1
4.83,3.22,42.9,10.25,3.89,afternoon,1,0
0.12,18.96,19.0,4.04,1.5,afternoon,2,0
4.76,15.36,70.6,8.98,1.06,night,1,0
3.23,5.44,10.7,6.66,2.79,morning,3,0
4.35,11.86,52.8,8.95,2.05,afternoon,1,0
2.33,14.46,27.4,4.36,4.6,afternoon,1,0
2.63,18.83,66.5,10.73,4.4,morning,1,0
2.5,17.64,98.1,12.09,2.42,morning,1,1
3.37,10.35,51.8,3.9,1.8,morning,1,0
0.78,15.52,83.6,4.51,1.63,night,1,1
0.25,11.29,55.7,9.92,1.34,evening,1,0
1.61,11.1,54.6,10.43,2.72,night,1,0
3.55,2.38,93.7,10.56,4.02,afternoon,1,1
1.09,2.61,90.1,10.24,1.55,evening,1,1
3.4,10.64,80.7,5.89,0.95,evening,1,1
4.85,5.45,36.7,5.92,2.38,night,1,0
0.56,0.52,59.1,3.82,0.35,morning,2,1
3.4,14.48,30.2,2.35,3.51,afternoon,2,0
2.27,0.75,50.0,10.39,2.59,evening,2,0
4.35,11.95,53.6,1.4,2.48,night,1,0
0.97,10.83,84.8,14.07,1.5,night,1,1
3.49,19.38,90.6,12.4,4.52,evening,1,0
4.21,9.74,47.3,12.86,0.45,morning,3,0
4.73,1.37,11.6,13.6,4.35,morning,1,0
3.45,11.08,87.6,6.13,1.88,night,1,0
2.54,16.84,25.7,12.7,4.4,afternoon,1,0
3.13,19.94,66.0,2.37,3.64,morning,3,0
4.36,8.66,12.2,0.32,0.52,night,2,0
2.9,6.47,46.0,11.77,4.16,morning,1,0
0.25,18.14,98.7,1.12,3.41,evening,1,1
4.66,3.91,19.1,14.83,0.16,evening,3,0
3.48,12.35,48.1,10.12,0.67,morning,1,0
3.41,8.17,37.6,11.3,3.18,afternoon,2,0
1.16,0.92,91.5,3.69,3.31,morning,2,1
3.33,7.01,88.2,10.11,3.73,evening,1,1
2.03,5.38,31.4,0.65,3.6,afternoon,1,0
3.29,13.75,17.3,12.57,3.3,morning,1,0
0.62,18.98,66.4,2.54,3.83,night,3,0
3.32,5.43,40.3,10.46,2.88,afternoon,2,0
5.0,16.25,70.5,3.37,1.3,morning,2,0
0.34,1.2,12.9,1.03,4.56,morning,2,0
4.89,10.81,22.0,7.22,0.09,morning,3,0
2.09,1.5,71.8,2.54,1.83,night,3,1
4.37,18.69,29.1,10.94,3.64,morning,1,0
3.93,15.35,87.2,3.56,2.14,afternoon,1,0
2.88,13.19,15.3,5.14,0.12,night,2,0
3.72,16.5,29.4,8.51,0.33,evening,2,0
4.4,12.99,99.9,4.27,3.24,afternoon,1,1
2.08,19.38,49.0,5.67,4.82,night,2,0
1.7,14.31,73.3,12.23,2.76,evening,1,0
3.37,18.5,26.4,2.69,2.53,morning,1,0
4.06,10.39,64.9,1.23,1.59,evening,2,0
3.84,2.43,75.3,4.93,1.28,night,1,1
4.01,10.61,38.3,6.37,0.1,afternoon,1,0
2.23,2.62,84.6,8.14,1.36,evening,3,1
4.11,11.89,64.3,5.59,2.25,night,2,0
0.69,9.7,45.0,11.85,0.99,evening,3,0
2.77,12.49,60.2,0.59,0.44,morning,2,1
0.13,0.3,61.9,6.48,3.59,morning,2,1
1.69,3.98,24.9,5.73,4.47,evening,2,0
1.9,9.88,46.2,9.71,4.68,morning,1,0
2.04,19.02,40.9,14.49,3.09,night,2,0
3.51,7.73,46.1,7.66,0.26,afternoon,1,0
2.0,8.55,78.5,14.8,3.7,afternoon,3,1
2.3,14.32,53.4,4.53,0.55,evening,1,0
1.26,12.12,94.6,0.46,3.35,afternoon,1,1
1.93,6.05,36.4,2.48,3.9,afternoon,2,0
1.21,8.28,47.4,5.93,3.63,morning,2,0
0.46,4.43,80.8,4.75,4.76,evening,1,1
3.06,19.32,59.1,1.46,3.69,night,1,0
3.37,2.7,59.2,6.49,3.47,evening,2,1
3.14,7.5,14.8,5.07,1.31,afternoon,1,0
2.37,0.61,45.9,1.84,4.62,morning,1,1
1.96,4.51,34.4,4.44,0.9,night,1,0
4.33,15.63,99.9,13.3,4.52,night,1,0
2.64,4.1,37.8,4.53,1.56,afternoon,1,0
2.45,1.69,89.6,10.71,0.65,evening,3,1
0.23,9.54,70.9,9.18,4.13,afternoon,1,1
1.77,0.3,40.7,6.41,0.01,afternoon,1,0
1.96,1.79,58.9,3.59,4.16,night,3,1
2.05,16.17,85.6,5.54,1.31,morning,2,1
2.94,15.45,89.5,8.88,4.42,afternoon,1,0
2.71,18.31,24.4,5.26,3.46,morning,1,0
3.08,17.1,40.6,3.22,3.33,afternoon,3,0
3.85,13.7,40.2,1.75,1.83,evening,1,0
4.08,1.14,13.8,13.2,0.3,morning,2,0
3.62,15.68,63.8,6.6,4.15,evening,2,0
4.78,16.93,86.9,9.38,0.85,morning,1,0
0.19,16.0,44.3,7.36,1.86,evening,2,0
1.06,10.22,76.6,13.09,3.0,morning,1,1
0.14,4.73,66.5,8.2,2.41,evening,1,1
3.27,16.92,43.8,7.21,0.99,evening,2,0
4.5,14.57,22.7,13.87,0.7,night,1,0
1.29,19.62,73.8,10.8,0.62,night,1,0
4.64,3.2,86.9,1.67,4.32,morning,2,1
0.4,4.59,71.7,2.67,0.16,morning,2,1
4.68,4.31,11.6,11.81,4.89,evening,1,0
1.82,15.87,29.5,12.54,0.99,evening,2,0
0.6,3.82,16.3,8.18,0.55,morning,1,0
2.48,1.43,61.3,8.32,2.88,morning,2,1
1.36,19.97,78.1,9.48,0.4,evening,2,0
1.5,0.59,20.0,6.59,3.01,night,3,0
1.61,16.72,85.5,10.2,4.25,night,2,1
4.03,7.37,60.0,1.63,0.24,morning,1,0
2.74,16.85,72.1,14.42,4.0,afternoon,1,0
1.63,11.14,97.4,11.25,1.97,morning,1,1
3.09,18.04,17.5,9.47,0.8,afternoon,2,0
3.61,18.53,91.1,4.74,0.88,evening,1,1
1.44,0.28,21.3,2.41,4.59,evening,3,0
2.13,1.6,45.4,6.14,0.55,afternoon,3,0
0.7,5.08,86.6,9.92,4.33,morning,1,1
0.99,13.42,91.6,9.51,2.72,afternoon,2,1
3.44,17.78,55.6,5.74,0.2,night,2,0
0.99,9.25,63.5,9.2,2.32,morning,1,0
2.67,12.18,73.7,12.21,4.09,afternoon,2,0
3.57,3.85,84.9,0.39,3.63,evening,1,1
0.62,16.12,20.9,6.76,2.44,evening,1,0
2.88,19.35,82.9,11.38,4.3,night,2,0
1.36,5.45,53.3,8.19,0.6,afternoon,3,0
4.82,9.95,50.6,9.77,4.55,afternoon,1,0
2.47,1.81,48.2,7.75,4.23,afternoon,2,0
4.05,11.23,55.8,14.88,3.54,night,1,0
2.8,10.11,95.1,0.82,4.09,evening,3,1
0.31,2.97,59.3,7.37,2.72,night,3,1
3.2,8.9,95.8,1.37,3.38,morning,1,1
4.76,6.75,26.2,2.4,2.8,evening,3,0
3.05,10.48,75.2,5.75,1.78,afternoon,1,1
4.11,11.75,83.1,2.33,2.84,morning,1,0
4.43,0.27,71.1,14.46,1.29,morning,2,1
1.22,15.24,64.6,14.2,2.2,evening,1,0
1.14,14.29,60.8,5.04,1.4,afternoon,2,1
3.09,7.39,87.5,9.6,0.61,night,2,1
2.11,1.15,83.9,8.01,1.61,evening,1,1
4.22,15.12,21.0,12.23,4.26,morning,1,0
4.51,19.11,86.4,9.41,1.91,evening,1,0
1.83,4.88,47.3,0.0,3.74,morning,1,1
1.26,6.54,32.8,11.45,0.88,afternoon,1,0
3.92,3.76,88.3,11.2,2.12,evening,1,1
1.45,11.58,48.9,7.65,0.57,night,2,0
4.13,3.18,82.8,13.54,0.69,afternoon,3,1
2.18,7.19,33.7,13.63,3.09,night,1,0
3.37,13.97,10.4,7.86,3.04,evening,1,0
0.57,11.25,54.6,9.12,1.07,afternoon,2,0
3.16,7.79,19.0,14.95,2.37,afternoon,3,0
2.31,8.46,77.9,4.48,4.32,evening,1,1
2.97,11.29,34.8,4.87,0.87,morning,3,0
0.92,0.22,49.9,2.74,0.1,night,2,1
3.71,1.66,17.8,13.44,3.26,evening,3,0
4.33,17.64,35.8,11.17,0.27,morning,1,0
1.16,1.65,80.3,1.58,4.9,night,3,1
0.57,14.17,23.6,14.73,3.05,morning,1,0
0.22,18.41,68.2,10.96,2.35,night,3,0
3.25,5.49,92.6,12.76,2.15,afternoon,1,1
3.07,7.47,71.2,0.72,2.87,evening,2,1
2.78,11.42,83.0,7.57,0.45,afternoon,2,1
1.24,17.65,19.8,10.48,4.65,evening,2,0
2.02,18.84,32.6,8.14,3.13,morning,2,0
3.01,14.82,90.5,10.0,0.92,morning,1,1
2.53,1.82,74.4,12.27,2.81,morning,2,1
4.94,13.42,67.6,5.62,0.67,night,3,0
0.77,8.27,69.7,12.73,0.09,morning,1,1
3.51,9.47,47.3,2.44,3.15,evening,2,0
2.08,1.08,14.0,4.06,3.24,night,3,0
2.2,3.9,80.6,0.65,2.92,night,2,1
3.62,15.83,71.1,5.47,0.92,morning,2,0
3.49,9.13,52.6,5.7,3.02,night,3,0
4.96,6.1,91.0,12.08,0.28,morning,2,1
0.73,7.74,40.3,9.8,3.05,evening,2,0
0.61,17.1,36.5,6.55,2.77,evening,3,0
3.65,15.01,88.6,9.78,3.28,morning,3,0
2.93,5.52,81.7,0.79,4.48,morning,2,1
1.44,2.44,56.3,2.7,4.25,afternoon,1,1
0.49,5.11,21.8,9.4,4.9,afternoon,1,0
0.52,18.42,29.4,9.62,4.88,night,2,0
4.48,11.67,69.1,11.61,3.86,afternoon,2,0
1.04,10.72,44.7,6.04,4.78,night,1,0
1.68,11.97,85.3,10.84,4.34,afternoon,1,1
1.21,7.38,95.5,10.26,3.64,night,1,1
1.84,16.16,82.5,14.45,0.38,evening,2,0
0.44,10.51,44.0,3.23,0.25,night,3,1
2.64,2.42,81.0,8.28,4.19,morning,3,1
0.43,2.67,41.6,9.03,2.45,evening,1,1
4.02,10.78,25.0,14.98,4.07,morning,1,0
1.25,18.74,13.0,3.02,1.56,morning,1,0
2.75,6.24,44.7,7.85,1.99,evening,1,0
4.41,17.4,91.3,5.19,3.5,evening,2,0
3.29,15.31,31.5,7.89,4.58,morning,1,0
2.71,5.03,28.6,3.48,0.44,afternoon,1,0
1.69,0.82,97.3,0.71,4.31,evening,1,1
1.73,2.13,12.3,8.59,3.97,morning,1,0
3.38,14.6,80.7,5.04,1.58,afternoon,1,1
4.97,4.07,38.9,2.73,1.78,evening,1,0
3.34,7.49,13.4,4.86,0.23,morning,1,0
2.83,10.08,92.6,0.74,0.08,evening,1,1
3.68,14.54,22.6,14.26,2.39,evening,1,0
2.38,2.35,59.7,8.72,0.48,night,2,1
0.39,8.19,34.7,12.22,0.97,morning,3,0
2.86,9.75,15.9,6.35,4.23,night,2,0
4.79,10.86,14.5,13.55,2.86,morning,2,0
0.96,16.39,20.4,7.25,3.17,afternoon,3,0
3.48,3.52,16.4,8.61,0.94,morning,1,0
1.08,16.18,78.5,7.38,4.14,night,1,0
2.73,13.89,53.7,11.0,4.34,evening,1,0
0.57,11.16,40.9,8.5,2.62,morning,1,0
2.31,14.02,47.7,4.07,4.56,morning,2,0
3.81,8.3,93.6,2.18,4.22,morning,1,1
1.8,2.85,92.0,9.09,3.66,morning,3,1
3.36,13.35,74.4,7.34,3.67,evening,1,0
4.0,10.54,89.6,1.44,0.53,evening,3,1
4.64,12.82,38.8,5.93,1.35,night,3,0
1.25,6.83,44.3,7.72,0.33,night,3,0
2.06,18.15,65.2,12.4,0.04,evening,2,0
0.85,11.79,66.1,1.14,0.79,morning,1,1
4.96,1.8,53.4,5.23,4.4,afternoon,2,0
4.64,9.05,46.1,12.34,1.2,afternoon,1,0
2.75,15.15,98.8,9.73,4.85,afternoon,3,1
4.23,15.9,83.9,4.35,2.99,evening,1,0
2.65,9.94,49.1,12.68,1.19,night,1,0
3.16,17.91,75.5,7.4,2.49,night,3,0
0.54,5.43,34.3,7.48,1.1,morning,1,1
3.8,8.27,19.0,14.65,4.92,morning,1,0
0.73,17.98,41.7,14.21,4.24,night,1,0
4.15,17.94,46.3,5.38,0.13,night,2,0
3.93,13.75,11.5,2.11,4.74,morning,2,0
3.57,17.19,83.3,4.89,3.61,evening,2,0
0.28,1.87,42.3,0.46,0.41,evening,3,1
1.59,17.31,62.2,0.31,3.35,afternoon,1,0
1.39,6.48,16.7,5.93,3.23,morning,2,0
1.86,3.65,25.7,14.12,1.09,night,2,0
0.53,4.86,90.1,13.07,3.79,evening,2,1
4.69,8.42,64.8,7.67,0.44,morning,1,0
2.81,5.1,95.5,8.48,2.45,evening,1,1
1.6,6.48,99.9,0.09,0.05,evening,1,1
2.05,2.79,43.5,3.23,4.84,night,1,0
2.29,5.99,36.9,0.37,3.76,morning,1,0
3.04,11.49,87.3,11.32,0.79,night,1,1
2.63,8.89,99.9,2.18,1.71,morning,1,1
4.61,7.0,66.7,13.04,0.8,evening,1,0
2.54,14.95,81.6,9.65,3.83,evening,2,0
4.96,17.88,80.4,3.44,0.29,afternoon,3,0
4.27,15.16,42.0,2.37,4.2,afternoon,1,0
1.12,6.71,61.7,9.41,4.71,night,2,0
4.66,14.91,85.0,13.51,3.38,evening,3,0
0.67,3.12,71.9,10.78,1.06,afternoon,2,1
4.11,2.69,11.9,5.23,1.8,morning,3,0
1.97,6.98,40.3,8.81,2.39,morning,1,0
4.4,16.17,23.0,4.66,3.02,morning,3,0
4.35,5.0,31.0,14.99,3.34,night,1,0
4.05,1.36,91.5,11.23,2.77,evening,1,1
3.97,2.72,13.3,9.22,1.76,night,3,0
1.59,17.19,29.8,6.35,4.45,morning,3,0
0.5,12.71,37.9,9.27,0.41,evening,1,0
2.07,5.14,65.5,5.12,2.33,morning,3,1
0.95,11.15,58.1,0.43,3.88,evening,1,0
3.51,10.6,29.6,5.93,0.3,afternoon,2,0
1.8,13.14,24.8,13.96,3.53,morning,1,0
4.88,4.74,31.3,9.39,4.1,evening,1,0
3.24,17.3,55.2,1.26,3.3,morning,2,0
4.13,6.26,34.4,13.27,0.06,evening,1,0
0.75,13.91,95.3,4.03,0.9,evening,1,1
4.32,0.42,51.7,3.66,1.71,evening,1,1
4.62,7.52,15.3,4.46,1.17,night,1,0
2.49,7.1,75.6,8.66,4.81,afternoon,2,0
3.07,10.92,39.6,8.17,3.26,afternoon,1,0
3.85,1.55,68.8,7.37,1.48,night,2,1
0.96,15.82,35.2,10.76,4.65,evening,1,0
2.56,4.43,61.4,4.75,3.7,morning,1,0
2.05,13.57,79.5,11.73,1.42,night,1,1
0.82,16.08,93.5,2.63,1.89,morning,2,1
1.9,11.28,33.5,11.74,1.0,morning,1,0
0.43,14.84,40.1,9.96,4.86,morning,1,0
0.23,13.27,51.8,10.25,2.59,morning,1,0
0.76,7.18,93.4,7.22,4.48,morning,3,1
4.82,16.2,91.1,10.01,1.73,morning,1,0
2.79,5.96,18.1,1.2,4.3,afternoon,2,0
4.83,11.47,21.9,12.77,0.27,morning,1,0
2.22,14.93,54.6,0.83,4.91,morning,1,0
1.63,7.64,19.6,2.23,4.56,evening,1,0
2.58,6.13,41.1,8.65,1.82,morning,1,0
2.25,9.24,23.4,11.09,3.87,morning,2,0
0.62,16.38,67.2,1.14,3.76,afternoon,3,0
3.24,18.61,95.5,13.81,4.51,afternoon,1,0
1.16,10.95,99.7,14.6,1.54,afternoon,1,1
3.14,13.26,43.8,9.09,2.33,afternoon,1,0
3.29,18.08,63.9,7.22,4.32,evening,1,0
0.84,2.06,87.1,11.12,3.89,evening,1,1
0.4,4.72,20.6,4.93,1.97,night,3,0
3.93,14.21,72.1,7.4,4.23,afternoon,1,0
2.35,16.49,46.8,13.74,0.23,afternoon,2,0
0.39,17.15,28.6,14.33,3.91,morning,1,0
4.97,8.36,46.2,13.91,1.03,evening,1,0
0.38,1.88,16.8,3.94,1.43,morning,1,0
3.51,8.81,72.6,3.49,2.47,afternoon,1,0
4.92,4.69,32.7,4.46,2.25,afternoon,1,0
1.27,5.89,38.0,6.62,2.6,evening,1,0
0.8,15.47,20.9,4.71,2.72,night,1,0
0.69,1.6,87.8,5.61,1.66,night,2,1
1.59,16.57,54.4,9.31,0.88,morning,1,0
0.6,8.61,61.5,11.44,3.84,morning,2,1
3.49,11.96,61.2,11.03,2.0,night,1,0
0.41,1.88,46.9,12.22,2.53,afternoon,3,0
2.6,6.81,27.3,0.48,3.22,afternoon,1,0
4.98,1.89,77.1,0.72,4.55,evening,1,1
4.09,19.23,21.4,11.84,3.54,evening,3,0
3.11,16.16,19.3,8.0,0.23,night,1,0
1.6,9.25,73.9,8.67,4.19,evening,2,1
3.16,4.55,28.8,0.79,4.95,afternoon,2,0
2.68,18.68,37.6,3.83,2.36,afternoon,1,0
2.19,6.96,52.8,9.58,4.85,night,3,0
0.74,3.3,50.4,12.89,2.74,evening,2,1
4.44,11.31,73.8,13.75,2.3,evening,2,0
2.3,18.88,66.1,7.51,1.66,night,3,0
1.05,0.18,68.0,8.18,3.29,evening,1,1
1.9,4.84,74.3,12.5,1.15,afternoon,1,1
2.13,18.78,36.3,8.06,0.52,evening,2,0
4.15,3.5,39.0,7.75,0.14,evening,1,0
3.69,2.35,49.4,13.58,1.46,morning,1,0
3.87,11.45,37.7,11.85,1.98,afternoon,1,0
0.15,17.25,98.6,13.64,2.76,evening,3,1
2.14,9.59,83.3,3.27,1.46,afternoon,1,1
2.46,19.89,24.8,7.87,4.92,evening,2,0
0.19,13.62,10.5,12.64,1.46,afternoon,1,0
1.37,1.57,13.9,1.67,2.2,night,1,0
3.83,19.86,32.0,11.92,0.52,morning,2,0
0.77,8.22,20.3,2.74,1.3,morning,3,0
